Significant	-Log(P-value)	Difference	Gene names	Symbol color	Symbol type	Symbol size	Show label	riBAQ 17	riBAQ 18	riBAQ 35	riBAQ 36	riBAQ 19	riBAQ 20	riBAQ 21	riBAQ 22	riBAQ 23	riBAQ 37	riBAQ 38	riBAQ 39	riBAQ 40	riBAQ 41	riBAQ 24	riBAQ 25	riBAQ 26	riBAQ 42	riBAQ 43
	0.44179738407078173	-0.38780297835667943	ADAM22	Color2 [DarkGray]	1	4		-2.605118751525879	-2.7687089443206787	-3.4751830101013184	NaN	NaN	-3.6484615802764893	-1.4240928888320923	NaN	NaN	-3.649052381515503	-2.5363433361053467	-3.79697585105896	-3.6122636795043945	NaN	-3.9584171772003174	-3.598754405975342	-2.829805374145508	NaN	-2.9629158973693848
	-0	NaN	ADAM9	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.9709479808807373	NaN	NaN	NaN	-4.049324989318848	-3.598754405975342	-3.065293312072754	-3.5982160568237305	-3.5612988471984863
	-0	NaN	ADAP1	Color2 [DarkGray]	1	4		NaN	-2.02396559715271	-1.9041600227355957	-1.607985258102417	-2.2555999755859375	NaN	NaN	NaN	-2.705902576446533	NaN	-3.4422996044158936	NaN	NaN	-3.1610376834869385	NaN	NaN	NaN	NaN	NaN
	-0	NaN	ADCY1	Color2 [DarkGray]	1	4		-2.9461545944213867	-3.3458945751190186	-2.3301329612731934	-2.8455636501312256	NaN	-4.443282127380371	NaN	-4.276703357696533	-3.272103786468506	-2.2732741832733154	-3.1515204906463623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	0.8367041916743474	-0.2919093132019044	ADCY2	Color2 [DarkGray]	1	4		-3.108883857727051	-3.572169065475464	-3.2331080436706543	-3.278522253036499	-3.4545040130615234	-4.067133903503418	-3.1237666606903076	-3.6025049686431885	-4.197991847991943	-3.2123916149139404	-3.4705893993377686	-3.8820111751556396	-4.009856224060059	-3.994346857070923	-3.818579912185669	-3.570464611053467	-3.8883371353149414	-3.5699262619018555	-3.103092670440674
	0.5731438541871199	-0.15534880161285392	ADD1	Color2 [DarkGray]	1	4		1.7210444211959839	1.3565315008163452	1.816114902496338	1.758683443069458	1.4234410524368286	0.865141749382019	1.7258943319320679	1.6953294277191162	1.7339366674423218	2.2436020374298096	1.8844939470291138	1.6382993459701538	2.208341598510742	1.8858994245529175	1.5816725492477417	1.695043921470642	1.4416780471801758	1.2305489778518677	1.589780330657959
+	3.9397710140886213	-1.434622111916542	ADD2	Color2 [DarkGray]	1	4		0.555665910243988	1.3356965780258179	1.2367348670959473	1.2991726398468018	0.5533076524734497	0.5446032285690308	0.5276234745979309	0.9245297908782959	0.7187389135360718	1.3679229021072388	1.2463799715042114	0.3586028814315796	0.6554412245750427	0.7661017179489136	-0.11497797071933746	-0.19640503823757172	-0.5520000457763672	-0.4506835341453552	-0.324956476688385
+	1.5746430393695292	0.5576444514095783	ADD3	Color2 [DarkGray]	1	4		0.9182719588279724	0.27278077602386475	0.19962267577648163	0.37709635496139526	-0.150259867310524	-0.03734506294131279	0.7417224049568176	0.8600966930389404	0.7622922658920288	0.6753179430961609	0.6113682985305786	0.8674148321151733	1.2917413711547852	0.8460053205490112	0.8343638181686401	1.1073821783065796	1.410292625427246	0.7009211182594299	0.9449772238731384
	-0	NaN	ADGRL3	Color2 [DarkGray]	1	4		NaN	-4.900919437408447	-4.43146276473999	-3.945098638534546	NaN	NaN	-4.935606479644775	-4.511448383331299	NaN	-4.691632270812988	NaN	-5.186866283416748	-4.970755577087402	-5.557554244995117	NaN	NaN	NaN	NaN	NaN
+	2.9717721897208023	1.2905619271099567	ADH5	Color2 [DarkGray]	1	4		-0.3532000184059143	-0.0331045538187027	0.6167197823524475	0.6474210619926453	1.082154393196106	0.31500327587127686	0.6802294850349426	0.8882663249969482	1.0929025411605835	0.9783985018730164	0.6323186159133911	0.7928298711776733	0.6110686659812927	1.0946625471115112	1.3493908643722534	1.3769010305404663	1.8427906036376953	1.586264729499817	1.3947577476501465
	0.14529393375456687	0.04366134007771816	ADK	Color2 [DarkGray]	1	4		-2.5900115966796875	NaN	-2.6057677268981934	-2.498913526535034	-2.848782539367676	NaN	NaN	-2.483703851699829	-2.334963321685791	NaN	-2.44230055809021	-2.410142660140991	-1.799117088317871	-2.610022783279419	-2.589538812637329	-2.308598041534424	-2.4234848022460938	-2.481639862060547	-2.802919864654541
	-0	NaN	ADRBK1	Color2 [DarkGray]	1	4		-3.858466148376465	-3.1402194499969482	-3.3812079429626465	-3.278522253036499	NaN	NaN	NaN	NaN	NaN	-3.7527434825897217	-3.83050799369812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	-0	-1.630215436220169	ADSS	Color2 [DarkGray]	1	4		-2.310788154602051	-0.7283369302749634	-0.44600242376327515	-0.6736610531806946	-1.5417708158493042	-1.5498343706130981	-0.9027964472770691	-0.9571583271026611	-1.241672158241272	-0.7028949856758118	-0.6329458951950073	-2.3027846813201904	-2.846994400024414	-0.563085675239563	-2.669912576675415	NaN	NaN	NaN	NaN
	0.4638439170709012	-0.31805045604705806	AGL	Color2 [DarkGray]	1	4		-1.5676442384719849	-1.5824133157730103	-1.7876057624816895	-1.3780591487884521	-1.946846842765808	-1.8805276155471802	-1.4363971948623657	-2.635707139968872	-1.1566263437271118	-1.3271244764328003	-1.9144819974899292	-1.2941890954971313	-2.0358505249023438	-1.7005892992019653	-1.5789176225662231	-2.1695027351379395	-2.539508819580078	-2.179612159729004	-1.0173640251159668
	-0	1.782338523864746	AGRN	Color2 [DarkGray]	1	4		-3.755434989929199	NaN	NaN	NaN	-3.8855209350585938	-4.0508527755737305	-1.811822533607483	-4.861666202545166	-4.187406063079834	-3.1887404918670654	-3.4283607006073	-2.8649375438690186	-2.447528839111328	-4.080564498901367	-1.6736747026443481	-2.2569661140441895	-2.239060401916504	-1.9165772199630737	-1.7792038917541504
	-0	NaN	AGT	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	-2.4358081817626953	-1.5722514390945435	-2.535491704940796	-1.7550060749053955	-1.5284439325332642	-2.8833281993865967	-2.589642286300659	-1.6669985055923462	-1.5162420272827148	-1.660512089729309	-1.2380667924880981	-0.8057543039321899	-1.1604509353637695	-1.6903733015060425	-1.0643610954284668
	0.8310118896827988	-0.2517795085906982	AHCY	Color2 [DarkGray]	1	4		1.5702885389328003	1.0421737432479858	1.3536028861999512	1.391953706741333	1.166133999824524	1.1486881971359253	1.3188976049423218	1.583677053451538	1.5020231008529663	1.319022297859192	1.4144631624221802	1.4069541692733765	1.484628677368164	1.5956591367721558	1.397790789604187	1.08920419216156	1.2344093322753906	0.8094263672828674	0.9077953696250916
	0.25589500079554794	0.12673773765563956	AHCYL1	Color2 [DarkGray]	1	4		1.6513794660568237	1.494585394859314	1.8422608375549316	1.8362219333648682	1.304336667060852	1.4377316236495972	1.5417951345443726	1.437406301498413	1.2704662084579468	1.8474799394607544	1.6023188829421997	1.95584237575531	1.1268987655639648	1.5845249891281128	1.7225159406661987	1.6826690435409546	2.3440608978271484	2.0530805587768555	1.361921787261963
	0.1726060498987146	-0.07430899143218994	AHCYL2	Color2 [DarkGray]	1	4		-1.523922085762024	-1.6454540491104126	-1.6757769584655762	-1.4989135265350342	NaN	-2.4338676929473877	-1.5454527139663696	-1.497509241104126	-1.9082914590835571	-1.5500553846359253	-1.9892491102218628	-1.3644357919692993	-2.259084701538086	-2.0429813861846924	-1.7630215883255005	-1.9901787042617798	-1.3530960083007812	-1.2848833799362183	-1.9104485511779785
