GO,ID,Description,NES,p.adjust,core_enrichment,Database,Functional_Module
hsa04310,hsa04310,WNT Signaling Pathway,-1.765425826,0.038117664,27101/5582/815/8454/5534/1487/5530/23236/9475/5532,KEGG,Cell cycle regulation
hsa03083,hsa03083,Polycomb Repressive Complex,-1.498008093,0.039388189,7874,KEGG,Apoptosis
hsa05164,hsa05164,Influenza A,1.809985096,0.040066815,3383/293/291/7416/3123,KEGG,Immune Response and Regulation
hsa00760,hsa00760,Nicotinate And Nicotinamide Metabolism,1.745485978,0.040066815,683/4860/10135/952/23475/22978,KEGG,Mitochondria and metabolism
hsa00340,hsa00340,Histidine Metabolism,1.739131476,0.041055743,4129/4128/3176/501/223/443/217/55748,KEGG,Mitochondria and metabolism
hsa05145,hsa05145,Toxoplasmosis,1.739925628,0.044189635,3915/3123/3913/3688/3908/3911/3655,KEGG,Immune Response and Regulation
hsa00260,hsa00260,"Glycine, Serine And Threonine Metabolism",1.74784366,0.045900955,4129/4128/8639/29968/501/1738,KEGG,Mitochondria and metabolism
hsa04022,hsa04022,CGMP-PKG Signaling Pathway,-1.647734931,0.045900955,6546/3778/491/5534/490/5530/2770/492/5604/23236/6543/5138/9475/5532,KEGG,Apoptosis
hsa04720,hsa04720,Long-Term Potentiation,-1.661762761,0.046719352,5500/3265/5567/5579/805/5582/815/5534/5530/5604/23236/5532,KEGG,Synaptic regulation
hsa00410,hsa00410,Beta-Alanine Metabolism,1.741252661,0.047796678,3030/8639/501/223/1892/217/18/55748/4329,KEGG,Mitochondria and metabolism
hsa05165,hsa05165,Human Papillomavirus Infection,1.609500709,0.049281495,1292/1291/1293/3673/3679/3915/3913/3688/3908/3911/3691/3655,KEGG,Immune Response and Regulation
R-HSA-1430728,R-HSA-1430728,Metabolism,1.981529059,5.48E-08,4129/960/7385/954/7384/3032/4719/5445/3030/2820/4128/291/1327/427/4035/1329/4704/7416/1537/1340/9377/1312/8604/6389/8639/3295/5538/8826/3033/2052/7381/55970/10226/2548/1727/2350/1728/1066/5333/2687/6222/2171/683/4860/210/8402/8644/4513/6136/51144/375790/37/1666/113026/3176/7263/10135/29968/64077/5730/857/6652/952/10449/953/2184/11112/23475/5160/501/55347/3313/223/145482/22978/2992/133121/11164/51084/6202/6139/6137/6187/6124/6147/445/5162/2944/1431/5660/5573/57153/84836/128/1892/38/50/6181/56898/1738/6175/6223/4357/6191/6122/8574/443/6130/6129/2950/1737/23446/6138/217/4736/8895/2746/51477/6189/203/3921/216/4507/8424/6203/134147/6128/1462/51181/641371/2946/55361/2947/2876/2098/2936/6125/55748/22908/8659/4329/5092/3074/176/34/873/3418/760/2819/645/1743/10840/6697/653689/25796/2806/6217/9045/5338/759/2778/4907,Reactome,Mitochondria and metabolism
R-HSA-1474244,R-HSA-1474244,Extracellular Matrix Organization,2.459859452,7.25E-08,960/2200/1292/1291/1293/3383/3673/2/3679/5034/3915/3913/3688/3908/824/3911/5479/2266/3691/3655/3684/375790/1605/3689/6641/1509/351/7143/1508/826/102/726/83700/3693/1462/5339/4811/7402/176/5175/6444/23385/2243/22795/58494/3672/682/1837,Reactome,Extracellular matrix and adhesion
R-HSA-199991,R-HSA-199991,Membrane Trafficking,-2.220417837,1.28E-07,9318/58513/51552/10987/8027/1211/5048/9146/8774/23396/10980/51560/7534/375/7529/274/2873/10383/1213/10376/381/11021/10540/81876/51534/162/1639/3831/1173/4644/26052/6305/9892/161/29924/7532/9135/7533/10382/57465/163/1212/160/10381/25977/7280/4905/55605/22848/7277/6844/5874/273/1759/288/63908/84251/5864/3796/6456/29993/6857/8867/9829,Reactome,Microtubule organisation
R-HSA-112316,R-HSA-112316,Neuronal System,-2.375030638,4.06E-07,1739/5582/5792/8514/6506/10211/5577/815/3737/10383/10376/1173/5789/10815/161/80331/4137/8541/3778/10382/163/2752/160/28964/10381/7280/57030/4905/9568/7277/6844/2770/7102/1740/83988/6853/6854/5864/23236/6857/6616/10681/1742/6812/6804/9066,Reactome,Synaptic regulation
R-HSA-112315,R-HSA-112315,Transmission Across Chemical Synapses,-2.328632356,4.66E-06,5577/815/10383/10376/1173/10815/161/80331/4137/8541/10382/163/2752/160/28964/10381/7280/57030/4905/9568/7277/6844/2770/7102/1740/83988/6853/6854/5864/23236/6857/6616/10681/1742/6812/6804,Reactome,Synaptic regulation
R-HSA-5653656,R-HSA-5653656,Vesicle-Mediated Transport,-2.010717878,4.66E-06,9318/58513/51552/335/10987/8027/1211/5048/9146/8774/23396/10980/51560/7534/375/7529/274/2873/10383/1213/10376/381/11021/10540/81876/51534/162/1639/3831/1173/4644/26052/6305/9892/161/29924/7532/9135/7533/10382/57465/163/1212/160/10381/25977/10808/7280/4905/55605/22848/7277/6844/5874/273/1759/288/63908/84251/5864/3796/6456/29993/6857/8867/9829,Reactome,Microtubule organisation
R-HSA-8856828,R-HSA-8856828,Clathrin-Mediated Endocytosis,-2.372072666,8.36E-06,9318/58513/10987/8027/1211/9146/23396/10980/274/2873/1213/1173/26052/9892/161/29924/163/1212/160/25977/22848/6844/273/1759/84251/6456/29993/6857/8867/9829,Reactome,Synaptic regulation
R-HSA-611105,R-HSA-611105,Respiratory Electron Transport,2.369177258,2.18E-05,7385/7384/4719/1327/1329/4704/1537/1340/9377/8604/6389/7381/8402/4513,Reactome,Mitochondria and metabolism
R-HSA-212676,R-HSA-212676,Dopamine Neurotransmitter Release Cycle,-2.426291427,2.96E-05,10815/8541/6844/6853/6854/5864/6857/6616/6812/6804,Reactome,Synaptic regulation
R-HSA-3000178,R-HSA-3000178,ECM Proteoglycans,2.32638636,2.96E-05,1292/1291/1293/3673/3679/3915/3913/3688/3908/3911/375790/1605/351/7143,Reactome,Extracellular matrix and adhesion
R-HSA-69278,R-HSA-69278,"Cell Cycle, Mitotic",-2.164522578,2.96E-05,5689/22933/5713/5695/1778/5684/5708/5709/9861/5701/3320/5702/5692/5717/5707/27183/3842/5706/10121/3326/5685/128866/6233/10726/5901/5500/11258/5528/5700/5705/5718/9798/5579/7531/5693/8615/4067/203068/5861/5516/5048/5862/5577/9793/5518/10383/10376/10540/81876/1639/5529/5520/8454/7532/51400/10382/10381/7280/23122/7277/2029/3796,Reactome,Cell cycle regulation
R-HSA-181429,R-HSA-181429,Serotonin Neurotransmitter Release Cycle,-2.336107065,3.32E-05,8541/6844/6853/6854/5864/6857/6616/6812/6804,Reactome,Synaptic regulation
R-HSA-9837999,R-HSA-9837999,Mitochondrial Protein Degradation,2.320223899,3.32E-05,7385/4719/293/1327/1329/4976/9377/3033/3329/4513/1891/351/5160/3313/5162/1431/38/50/1738/6742/217/2746,Reactome,Mitochondria and metabolism
R-HSA-216083,R-HSA-216083,Integrin Cell Surface Interactions,2.308491087,6.90E-05,960/2200/1292/1291/1293/3383/3673/3679/3688/2266/3655/3684/375790/3689,Reactome,Extracellular matrix and adhesion
R-HSA-9734767,R-HSA-9734767,Developmental Cell Lineages,2.298824129,6.90E-05,301/302/3915/3913/3688/3908/3911/306/3691/3655/2171,Reactome,Cell cycle regulation
R-HSA-1474228,R-HSA-1474228,Degradation of The Extracellular Matrix,2.267550061,7.63E-05,960/2200/1292/1291/1293/2/3915/824/3911/1509/1508/826/102/726,Reactome,Extracellular matrix and adhesion
