Significant	-Log(P-value)	Difference	Proteins	Symbol color	Symbol type	Symbol size	Show label	riBAQ.17	riBAQ.18	riBAQ.35	riBAQ.36	riBAQ.19	riBAQ.20	riBAQ.21	riBAQ.22	riBAQ.23	riBAQ.37	riBAQ.38	riBAQ.39	riBAQ.40	riBAQ.41	riBAQ.24	riBAQ.25	riBAQ.26	riBAQ.42	riBAQ.43
	-0	-0.19428002834320068	MRC1	Color2 [DarkGray]	1	4		-3.3263235092163086	NaN	NaN	NaN	NaN	-3.779405117034912	NaN	NaN	-3.646225929260254	-1.607192039489746	NaN	-3.4953508377075195	NaN	NaN	-0.9610662460327148	-1.4571542739868164	-3.4743213653564453	-2.1622204780578613	-0.8129444122314453
	2.3450523966299746	-0.4297068119049072	MSN	Color2 [DarkGray]	1	4		2.503931999206543	2.2280635833740234	2.1603879928588867	1.8572607040405273	2.7958946228027344	2.4386935234069824	2.585160255432129	2.779562473297119	2.624074935913086	2.2662572860717773	2.510866165161133	2.7287044525146484	2.8798789978027344	2.5620861053466797	3.2325315475463867	3.379063606262207	3.3296518325805664	4.133922100067139	3.6713781356811523
	-0	NaN	MTCH2	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	-0.614405632019043	-0.4908633232116699	-0.48381710052490234	NaN	NaN	NaN	NaN	-1.5722589492797852	NaN	NaN	0.5282583236694336	1.2705135345458984	1.200052261352539	0.8429083824157715	1.3489513397216797
	-0	0.2615329197474888	MT-CO2	Color2 [DarkGray]	1	4		1.1965103149414062	NaN	NaN	NaN	1.54046630859375	1.7552170753479004	1.3978796005249023	1.377255916595459	NaN	0.7919702529907227	-0.06357860565185547	NaN	-0.25436878204345703	NaN	2.495931625366211	3.3732995986938477	2.8759422302246094	1.2905364036560059	3.4337196350097656
	-0	NaN	MTOR	Color2 [DarkGray]	1	4		NaN	-5.693721771240234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.355583190917969	-6.521142959594727	-5.761328220367432	-5.974930763244629
	0.389706733239322	0.29775291681289673	MTSS1L	Color2 [DarkGray]	1	4		-2.697516441345215	-3.1351871490478516	-2.135409355163574	-2.3652849197387695	-1.6859931945800781	NaN	-2.304183006286621	-3.3093018531799316	-3.029170036315918	-3.4623756408691406	NaN	-2.7536630630493164	-3.29097843170166	-3.213153839111328	-2.2616024017333984	-2.2666330337524414	-1.7841768264770508	-1.3666434288024902	-1.8296222686767578
	-0	NaN	MTX2	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.9299077987670898	-0.9555110931396484	-1.6784710884094238	-0.29013824462890625
	0.18735240561764677	0.18185644149780256	MYO6	Color2 [DarkGray]	1	4		-2.6325607299804688	-2.047011375427246	-2.73580265045166	-3.1604652404785156	-3.1122570037841797	-2.924787998199463	-1.1194772720336914	-2.636343479156494	-3.9725866317749023	-2.788362503051758	-2.8380184173583984	-2.913018226623535	-2.674893379211426	-3.2784194946289062	-2.1021242141723633	-2.3119564056396484	-1.5299358367919922	-2.127455234527588	-1.9231796264648438
	-0	-0.11163034439086905	MYOF	Color2 [DarkGray]	1	4		-2.86862850189209	NaN	NaN	NaN	NaN	-2.54494047164917	-2.875138282775879	NaN	-2.9818649291992188	-2.36068058013916	NaN	-3.022366523742676	NaN	NaN	-1.3352746963500977	-1.052764892578125	-2.6142520904541016	-1.6048893928527832	-1.8878173828125
	-0	NaN	NADK2	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	-2.3178415298461914	NaN	-2.2354698181152344	-2.7243399620056152	-2.592653274536133	NaN	NaN	-3.4503355026245117	-1.439988136291504	-3.0187759399414062	-1.8372268676757812	-1.3908119201660156	-1.77294921875	-2.076829433441162	-1.1515512466430664
	0.15429084148505864	-0.14477990070978786	NAMPT	Color2 [DarkGray]	1	4		NaN	-1.4677629470825195	-2.442070960998535	-2.547488212585449	NaN	-1.8039727210998535	-1.666250228881836	NaN	-2.7822561264038086	-1.438262939453125	-1.3776016235351562	-2.543445587158203	-2.3813934326171875	-2.068103790283203	-0.8210296630859375	-0.9616603851318359	-0.4472980499267578	-0.25611257553100586	-1.908930778503418
	0.31144173120901075	0.2087611198425292	NCDN	Color2 [DarkGray]	1	4		1.5181474685668945	1.5383405685424805	2.2369728088378906	1.7848854064941406	2.1490650177001953	1.5346360206604004	1.7915725708007812	1.6026921272277832	1.7463254928588867	1.7618627548217773	1.8637971878051758	1.1383914947509766	0.22511959075927734	1.7947921752929688	0.8190107345581055	-0.7755508422851562	-0.2516002655029297	0.25925683975219727	-0.8346643447875977
	0.10059733410755187	0.05090065002441424	NCSTN	Color2 [DarkGray]	1	4		-1.7070388793945312	-1.9058837890625	-1.844508171081543	-2.381678581237793	-2.3843374252319336	-1.666832447052002	-1.6936445236206055	-2.088855266571045	-1.9181394577026367	-1.7335376739501953	-1.8933019638061523	-1.7631235122680664	-2.417736053466797	-2.547271728515625	-1.7426643371582031	-1.3299741744995117	-1.6042680740356445	-1.8520703315734863	-1.5610074996948242
	-0	NaN	NDUFA10	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	-1.486046314239502	-2.2557430267333984	NaN	NaN	-2.4224090576171875	NaN	NaN	NaN	NaN	-1.5397043228149414	-0.30218029022216797	-0.9199905395507812	-1.275012493133545	0.7953977584838867
	-0	NaN	NDUFA13	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.2892045974731445	1.2411155700683594	0.2886652946472168	1.8728084564208984
	-0	NaN	NDUFA2	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.150949478149414	0.4911642074584961	0.39197874069213867	1.613372802734375
	-0	NaN	NDUFA5	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	0.027536392211914062	0.636375904083252	NaN	-0.14089059829711914	-0.4394073486328125	0.6048164367675781	NaN	NaN	NaN	NaN	0.5426797866821289	2.2059736251831055	1.380629539489746	1.1435303688049316	2.578639030456543
