ID	Symbol	Name	Species	Date	Remarks
345895	RSPH4A	radial spoke head 4 homolog A (Chlamydomonas)	Hs	11/03/2015	
144423	GLT1D1	glycosyltransferase 1 domain containing 1	Hs	11/03/2015	
339442	LOC339442	hypothetical protein LOC339442	Hs	11/03/2015	
115273	RAB42	RAB42, member RAS oncogene family	Hs	11/03/2015	
339448	C1orf174	chromosome 1 open reading frame 174	Hs	11/03/2015	
145773	FAM81A	family with sequence similarity 81, member A	Hs	11/03/2015	
23266	LPHN2	latrophilin 2	Hs	11/03/2015	
23264	ZC3H7B	zinc finger CCCH-type containing 7B	Hs	11/03/2015	
23265	EXOC7	exocyst complex component 7	Hs	11/03/2015	
23262	HISPPD1	histidine acid phosphatase domain containing 1	Hs	11/03/2015	
23263	MCF2L	MCF.2 cell line derived transforming sequence-like	Hs	11/03/2015	
23261	CAMTA1	calmodulin binding transcription activator 1	Hs	11/03/2015	
23268	DNMBP	dynamin binding protein	Hs	11/03/2015	
23269	MGA	MAX gene associated	Hs	11/03/2015	
644215	LOC644215	Hypothetical LOC644215	Hs	11/03/2015	
643246	MAP1LC3B2	microtubule-associated protein 1 light chain 3 beta 2	Hs	11/03/2015	
644213	LOC644213	Glyceraldehyde-3-phosphate dehydrogenase pseudogene	Hs	11/03/2015	
81567	TXNDC5	thioredoxin domain containing 5 (endoplasmic reticulum)	Hs	11/03/2015	
128859	BPIL3	bactericidal/permeability-increasing protein-like 3	Hs	11/03/2015	
128854	TSPYL3	TSPY-like 3 (pseudogene)	Hs	11/03/2015	
128853	DUSP15	dual specificity phosphatase 15	Hs	11/03/2015	
448835	LCE6A	late cornified envelope 6A	Hs	11/03/2015	
448834	KPRP	keratinocyte proline-rich protein	Hs	11/03/2015	
6778	STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	Hs	11/03/2015	
6779	STATH	statherin	Hs	11/03/2015	
448831	FRG2	FSHD region gene 2	Hs	11/03/2015	
6774	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	Hs	11/03/2015	
6775	STAT4	signal transducer and activator of transcription 4	Hs	11/03/2015	
6776	STAT5A	signal transducer and activator of transcription 5A	Hs	11/03/2015	
6777	STAT5B	signal transducer and activator of transcription 5B	Hs	11/03/2015	
6770	STAR	steroidogenic acute regulatory protein	Hs	11/03/2015	
6772	STAT1	signal transducer and activator of transcription 1, 91kDa	Hs	11/03/2015	
6773	STAT2	signal transducer and activator of transcription 2, 113kDa	Hs	11/03/2015	
92745	SLC38A5	solute carrier family 38, member 5	Hs	11/03/2015	
92747	C20orf114	chromosome 20 open reading frame 114	Hs	11/03/2015	
92749	C2orf39	chromosome 2 open reading frame 39	Hs	11/03/2015	
9333	TGM5	transglutaminase 5	Hs	11/03/2015	
55209	SETD5	SET domain containing 5	Hs	11/03/2015	
6935	ZEB1	zinc finger E-box binding homeobox 1	Hs	11/03/2015	
55203	LGI2	leucine-rich repeat LGI family, member 2	Hs	11/03/2015	
84220	RGPD5	RANBP2-like and GRIP domain containing 5	Hs	11/03/2015	
140850	DEFB127	defensin, beta 127	Hs	11/03/2015	
