Ensembl	symbol	KEGG
ENSG00000124491	F13A1	Complement and coagulation cascades:KEGG-hsa04610
ENSG00000134243	SORT1	Lysosome:KEGG-hsa04142
ENSG00000003056	M6PR	Lysosome:KEGG-hsa04142
ENSG00000141458	NPC1	Lysosome:KEGG-hsa04142
ENSG00000120915	EPHX2	Arachidonic acid metabolism:KEGG-hsa00590
ENSG00000168291	PDHB	Valine, leucine and isoleucine biosynthesis:KEGG-hsa00290
ENSG00000110090	CPT1A	Adipocytokine signaling pathway:KEGG-hsa04920
ENSG00000146648	EGFR	Pancreatic cancer:KEGG-hsa05212
ENSG00000169896	ITGAM	Hematopoietic cell lineage:KEGG-hsa04640
ENSG00000113721	PDGFRB	Glioma:KEGG-hsa05214
ENSG00000146648	EGFR	Glioma:KEGG-hsa05214
ENSG00000148660	CAMK2G	Glioma:KEGG-hsa05214
