Ensembl	symbol	KEGG
ENSG00000185236	RAB11B	Vasopressin-regulated water reabsorption:KEGG-hsa04962
ENSG00000204287	HLA-DRA	Graft-versus-host disease:KEGG-hsa05332
ENSG00000206503	HLA-A	Graft-versus-host disease:KEGG-hsa05332
ENSG00000196126	HLA-DRB1	Graft-versus-host disease:KEGG-hsa05332
ENSG00000204287	HLA-DRA	Antigen processing and presentation:KEGG-hsa04612
ENSG00000126803	HSPA2	Antigen processing and presentation:KEGG-hsa04612
ENSG00000206503	HLA-A	Antigen processing and presentation:KEGG-hsa04612
ENSG00000196126	HLA-DRB1	Antigen processing and presentation:KEGG-hsa04612
ENSG00000100911	PSME2	Antigen processing and presentation:KEGG-hsa04612
ENSG00000081237	PTPRC	Primary immunodeficiency:KEGG-hsa05340
ENSG00000108821	COL1A1	Amoebiasis:KEGG-hsa05146
ENSG00000154229	PRKCA	Amoebiasis:KEGG-hsa05146
ENSG00000160255	ITGB2	Amoebiasis:KEGG-hsa05146
ENSG00000088256	GNA11	Amoebiasis:KEGG-hsa05146
ENSG00000087460	GNAS	Amoebiasis:KEGG-hsa05146
ENSG00000075785	RAB7A	Amoebiasis:KEGG-hsa05146
ENSG00000156052	GNAQ	Amoebiasis:KEGG-hsa05146
ENSG00000170458	CD14	Amoebiasis:KEGG-hsa05146
ENSG00000204287	HLA-DRA	Viral myocarditis:KEGG-hsa05416
ENSG00000170624	SGCD	Viral myocarditis:KEGG-hsa05416
ENSG00000160255	ITGB2	Viral myocarditis:KEGG-hsa05416
ENSG00000172115	CYCS	Viral myocarditis:KEGG-hsa05416
ENSG00000206503	HLA-A	Viral myocarditis:KEGG-hsa05416
ENSG00000196126	HLA-DRB1	Viral myocarditis:KEGG-hsa05416
ENSG00000090339	ICAM1	Viral myocarditis:KEGG-hsa05416
ENSG00000065135	GNAI3	Chagas disease (American trypanosomiasis):KEGG-hsa05142
ENSG00000114353	GNAI2	Chagas disease (American trypanosomiasis):KEGG-hsa05142
ENSG00000088256	GNA11	Chagas disease (American trypanosomiasis):KEGG-hsa05142
ENSG00000087460	GNAS	Chagas disease (American trypanosomiasis):KEGG-hsa05142
ENSG00000156052	GNAQ	Chagas disease (American trypanosomiasis):KEGG-hsa05142
ENSG00000154229	PRKCA	ErbB signaling pathway:KEGG-hsa04012
ENSG00000091409	ITGA6	Dilated cardiomyopathy:KEGG-hsa05414
ENSG00000082781	ITGB5	Dilated cardiomyopathy:KEGG-hsa05414
ENSG00000170624	SGCD	Dilated cardiomyopathy:KEGG-hsa05414
ENSG00000135424	ITGA7	Dilated cardiomyopathy:KEGG-hsa05414
ENSG00000087460	GNAS	Dilated cardiomyopathy:KEGG-hsa05414
