Ensembl	symbol	KEGG
ENSG00000143153	ATP1B1	Proximal tubule bicarbonate reclamation:KEGG-hsa04964
ENSG00000129244	ATP1B2	Proximal tubule bicarbonate reclamation:KEGG-hsa04964
ENSG00000083720	OXCT1	Butanoate metabolism:KEGG-hsa00650
ENSG00000008952	SEC62	Protein export:KEGG-hsa03060
ENSG00000068976	PYGM	Insulin signaling pathway:KEGG-hsa04910
ENSG00000100504	PYGL	Insulin signaling pathway:KEGG-hsa04910
ENSG00000133818	RRAS2	Tight junction:KEGG-hsa04530
ENSG00000174469	CNTNAP2	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000145349	CAMK2D	Melanogenesis:KEGG-hsa04916
ENSG00000197894	ADH5	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000071242	RPS6KA2	Progesterone-mediated oocyte maturation:KEGG-hsa04914
ENSG00000158270	COLEC12	Phagosome:KEGG-hsa04145
ENSG00000259207	ITGB3	Phagosome:KEGG-hsa04145
ENSG00000011028	MRC2	Phagosome:KEGG-hsa04145
ENSG00000123104	ITPR2	Gap junction:KEGG-hsa04540
ENSG00000128311	TST	Cysteine and methionine metabolism:KEGG-hsa00270
ENSG00000160200	CBS	Cysteine and methionine metabolism:KEGG-hsa00270
ENSG00000259207	ITGB3	Osteoclast differentiation:KEGG-hsa04380
ENSG00000115415	STAT1	Osteoclast differentiation:KEGG-hsa04380
ENSG00000122729	ACO1	Citrate cycle (TCA cycle):KEGG-hsa00020
ENSG00000173599	PC	Citrate cycle (TCA cycle):KEGG-hsa00020
ENSG00000168118	RAB4A	Endocytosis:KEGG-hsa04144
ENSG00000085832	EPS15	Endocytosis:KEGG-hsa04144
ENSG00000116171	SCP2	Primary bile acid biosynthesis:KEGG-hsa00120
ENSG00000116171	SCP2	PPAR signaling pathway:KEGG-hsa03320
ENSG00000164434	FABP7	PPAR signaling pathway:KEGG-hsa03320
ENSG00000155368	DBI	PPAR signaling pathway:KEGG-hsa03320
ENSG00000174684	B3GNT1	Glycosphingolipid biosynthesis - lacto and neolacto series:KEGG-hsa00601
ENSG00000123104	ITPR2	Long-term depression:KEGG-hsa04730
ENSG00000120251	GRIA2	Long-term depression:KEGG-hsa04730
ENSG00000128311	TST	Sulfur relay system:KEGG-hsa04122
ENSG00000150656	CNDP1	beta-Alanine metabolism:KEGG-hsa00410
ENSG00000111348	ARHGDIB	Vasopressin-regulated water reabsorption:KEGG-hsa04962
ENSG00000184227	ACOT1	Biosynthesis of unsaturated fatty acids:KEGG-hsa01040
