Ensembl ID	ChEMBL ID
ENSG00000100784	CHEMBL4237
ENSG00000100804	CHEMBL2364701
ENSG00000100823	CHEMBL5619
ENSG00000100902	CHEMBL2364701
ENSG00000100906	CHEMBL2898
ENSG00000100979	CHEMBL5962
ENSG00000100985	CHEMBL321
ENSG00000100994	CHEMBL3856
ENSG00000100997	CHEMBL5516
ENSG00000101017	CHEMBL1250358
ENSG00000101049	CHEMBL5794
ENSG00000101076	CHEMBL5398
ENSG00000101109	CHEMBL4598
ENSG00000101160	CHEMBL4160
ENSG00000101162	CHEMBL1915
ENSG00000101180	CHEMBL2111378
ENSG00000101182	CHEMBL2364701
ENSG00000101187	CHEMBL2073679
ENSG00000101188	CHEMBL2111438
ENSG00000101197	CHEMBL1075127
ENSG00000101204	CHEMBL3038461
ENSG00000101210	CHEMBL1795122
ENSG00000101213	CHEMBL4601
ENSG00000101224	CHEMBL4804
ENSG00000101266	CHEMBL3629
ENSG00000101292	CHEMBL5548
ENSG00000101306	CHEMBL2777
ENSG00000101323	CHEMBL4229
ENSG00000101327	CHEMBL2227
ENSG00000101336	CHEMBL3234
ENSG00000101349	CHEMBL4524
ENSG00000101350	CHEMBL6109
ENSG00000101412	CHEMBL4382
ENSG00000101444	CHEMBL2664
ENSG00000101557	CHEMBL1293295
ENSG00000101670	CHEMBL5080
ENSG00000101680	CHEMBL2364187
ENSG00000101751	CHEMBL5391
ENSG00000101782	CHEMBL5659
ENSG00000101843	CHEMBL2331054
ENSG00000101846	CHEMBL3559
ENSG00000101868	CHEMBL2363042
ENSG00000101916	CHEMBL5805
ENSG00000101945	CHEMBL1795118
ENSG00000101958	CHEMBL5871
ENSG00000101966	CHEMBL4198
ENSG00000101981	CHEMBL2111424
ENSG00000102001	CHEMBL2363032
ENSG00000102010	CHEMBL3834
ENSG00000102057	CHEMBL2362996
ENSG00000102076	CHEMBL1949482
ENSG00000102096	CHEMBL4523
ENSG00000102144	CHEMBL2096677
ENSG00000102172	CHEMBL4934
ENSG00000102225	CHEMBL4597
ENSG00000102239	CHEMBL4080
ENSG00000102287	CHEMBL2093872
ENSG00000102302	CHEMBL2862
ENSG00000102309	CHEMBL4923
ENSG00000102312	CHEMBL1255163
ENSG00000102393	CHEMBL2524
ENSG00000102452	CHEMBL1628464
ENSG00000102468	CHEMBL2096662
ENSG00000102524	CHEMBL2364158
ENSG00000102539	CHEMBL2203
ENSG00000102554	CHEMBL1293249
ENSG00000102572	CHEMBL5082
ENSG00000102699	CHEMBL6142
ENSG00000102755	CHEMBL1868
ENSG00000102882	CHEMBL1907606
ENSG00000102893	CHEMBL2111324
ENSG00000102967	CHEMBL1966
ENSG00000102996	CHEMBL2963
ENSG00000103066	CHEMBL4986
ENSG00000103126	CHEMBL1255127
ENSG00000103150	CHEMBL4698
ENSG00000103174	CHEMBL5920
ENSG00000103222	CHEMBL3004
ENSG00000103257	CHEMBL4459
ENSG00000103319	CHEMBL5026
ENSG00000103415	CHEMBL2546
ENSG00000103510	CHEMBL1932912
ENSG00000103546	CHEMBL2363064
ENSG00000103653	CHEMBL2634
ENSG00000103811	CHEMBL2111441
ENSG00000104205	CHEMBL6186
ENSG00000104267	CHEMBL2096906
ENSG00000104312	CHEMBL5014
ENSG00000104321	CHEMBL6007
ENSG00000104332	CHEMBL5517
ENSG00000104365	CHEMBL2111328
ENSG00000104368	CHEMBL1873
ENSG00000104375	CHEMBL4708
ENSG00000104549	CHEMBL3592
ENSG00000104687	CHEMBL2755
ENSG00000104689	CHEMBL3551
ENSG00000104763	CHEMBL5463
ENSG00000104774	CHEMBL4059
ENSG00000104783	CHEMBL4305
ENSG00000104812	CHEMBL4000
ENSG00000104814	CHEMBL5749
ENSG00000104833	CHEMBL2095182
ENSG00000104848	CHEMBL2362996
ENSG00000104870	CHEMBL5966
ENSG00000104879	CHEMBL2656
ENSG00000104885	CHEMBL1795117
ENSG00000104921	CHEMBL2940
ENSG00000104936	CHEMBL5320
ENSG00000104938	CHEMBL2176858
ENSG00000105141	CHEMBL5991
ENSG00000105143	CHEMBL3173
ENSG00000105146	CHEMBL3935
ENSG00000105173	CHEMBL1907605
ENSG00000105204	CHEMBL5543
ENSG00000105221	CHEMBL2431
ENSG00000105287	CHEMBL4900
ENSG00000105329	CHEMBL1795178
ENSG00000105383	CHEMBL1842
ENSG00000105397	CHEMBL2363062
ENSG00000105398	CHEMBL2077
ENSG00000105401	CHEMBL1795123
ENSG00000105409	CHEMBL2095186
ENSG00000105426	CHEMBL2396508
ENSG00000105443	CHEMBL5995
ENSG00000105464	CHEMBL3038505
ENSG00000105486	CHEMBL5694
ENSG00000105499	CHEMBL4834
ENSG00000105605	CHEMBL2363032
ENSG00000105612	CHEMBL1250342
ENSG00000105613	CHEMBL3038500
ENSG00000105639	CHEMBL2148
ENSG00000105642	CHEMBL2369
ENSG00000105650	CHEMBL2111340
ENSG00000105675	CHEMBL2095173
ENSG00000105695	CHEMBL5807
ENSG00000105707	CHEMBL2079849
ENSG00000105723	CHEMBL2850
ENSG00000105737	CHEMBL2675
ENSG00000105810	CHEMBL2111448
ENSG00000105835	CHEMBL1744525
ENSG00000105851	CHEMBL3267
ENSG00000105953	CHEMBL2816
ENSG00000105976	CHEMBL3717
ENSG00000105989	CHEMBL1255132
ENSG00000106018	CHEMBL4532
ENSG00000106069	CHEMBL4504
ENSG00000106077	CHEMBL2189134
ENSG00000106080	CHEMBL2342
ENSG00000106100	CHEMBL1293222
ENSG00000106113	CHEMBL4069
ENSG00000106128	CHEMBL2032
ENSG00000106144	CHEMBL4884
ENSG00000106211	CHEMBL5976
ENSG00000106258	CHEMBL2111472
ENSG00000106348	CHEMBL1822
ENSG00000106366	CHEMBL3475
ENSG00000106392	CHEMBL2321633
ENSG00000106462	CHEMBL2189110
ENSG00000106546	CHEMBL3201
ENSG00000106588	CHEMBL2364701
ENSG00000106617	CHEMBL2096907
ENSG00000106633	CHEMBL3820
ENSG00000106682	CHEMBL1293274
ENSG00000106683	CHEMBL3836
ENSG00000106688	CHEMBL2721
