Ensembl ID	Uniprot_gn_trans_name ID
ENSG00000003756	RBM5-001
ENSG00000003756	RBM5-003
ENSG00000003756	RBM5-004
ENSG00000003756	RBM5-005
ENSG00000003756	RBM5-007
ENSG00000003756	RBM5-008
ENSG00000003756	RBM5-009
ENSG00000003756	RBM5-010
ENSG00000003756	RBM5-011
ENSG00000003756	RBM5-012
ENSG00000003756	RBM5-013
ENSG00000003756	RBM5-014
ENSG00000003756	RBM5-015
ENSG00000003756	RBM5-016
ENSG00000003756	RBM5-017
ENSG00000003756	RBM5-018
ENSG00000003756	RBM5-019
ENSG00000003756	RBM5-020
ENSG00000003756	RBM5-021
ENSG00000003756	RBM5-022
ENSG00000003756	RBM5-023
ENSG00000003756	RBM5-024
ENSG00000003756	RBM5-025
ENSG00000003756	RBM5-026
ENSG00000003756	RBM5-027
ENSG00000003756	RBM5-029
ENSG00000003756	UPI00000729A9
ENSG00000003756	UPI000013337C
ENSG00000003756	UPI000198CA8E
ENSG00000003756	UPI000198CA8F
ENSG00000003756	UPI000198CA90
ENSG00000003756	UPI000198CA91
ENSG00000003756	UPI000198CA92
ENSG00000003756	UPI000198CA93
ENSG00000003987	MTMR7
ENSG00000003987	MTMR7-001
ENSG00000003987	MTMR7-002
ENSG00000003987	MTMR7-003
ENSG00000003987	MTMR7-004
ENSG00000003987	MTMR7-005
ENSG00000003987	MTMR7-006
ENSG00000003987	MTMR7-007
ENSG00000003987	MTMR7-008
ENSG00000003987	MTMR7-009
ENSG00000003987	UPI00004DFD27
ENSG00000003987	UPI0001D1475B
ENSG00000003987	UPI0001E8EF66
ENSG00000003989	SLC7A2
ENSG00000003989	SLC7A2-001
ENSG00000003989	SLC7A2-002
ENSG00000003989	SLC7A2-003
ENSG00000003989	SLC7A2-201
ENSG00000003989	SLC7A2-202
ENSG00000003989	UPI000035CC54
ENSG00000003989	UPI0000EE4C34
ENSG00000003989	UPI0001A336A4
ENSG00000004059	ARF5
ENSG00000004059	ARF5-001
ENSG00000004059	ARF5-002
ENSG00000004059	ARF5-003
ENSG00000004059	ARF5-004
ENSG00000004059	ARF5-006
ENSG00000004059	ARF5-007
ENSG00000004059	UPI0000044DA0
ENSG00000004059	UPI000155D66C
ENSG00000004139	SARM1
ENSG00000004139	SARM1-001
ENSG00000004139	SARM1-002
ENSG00000004139	SARM1-003
ENSG00000004139	SARM1-005
ENSG00000004139	SARM1-006
ENSG00000004139	SARM1-007
ENSG00000004139	SARM1-008
ENSG00000004139	SARM1-009
ENSG00000004139	UPI000021FB54
ENSG00000004139	UPI000268AF7B
ENSG00000004139	UPI000268AF7C
ENSG00000004139	UPI000268AF7D
ENSG00000004142	DKFZP586F1524
ENSG00000004142	POLDIP2
ENSG00000004142	POLDIP2-001
ENSG00000004142	POLDIP2-002
ENSG00000004142	UPI00000722ED
ENSG00000004142	UPI00017A6BD0
ENSG00000004399	PLXND1
ENSG00000004399	PLXND1-001
ENSG00000004399	PLXND1-002
ENSG00000004399	PLXND1-003
ENSG00000004399	PLXND1-005
ENSG00000004399	PLXND1-006
ENSG00000004399	PLXND1-007
ENSG00000004399	PLXND1-008
ENSG00000004399	PLXND1-009
ENSG00000004399	PLXND1-010
ENSG00000004399	PLXND1-011
ENSG00000004399	PLXND1-012
ENSG00000004399	PLXND1-013
ENSG00000004399	PLXND1-014
ENSG00000004399	PLXND1-015
ENSG00000004399	PLXND1-016
ENSG00000004399	PLXND1-017
ENSG00000004399	PLXND1-018
ENSG00000004399	UPI00003671AD
ENSG00000004399	UPI0001D3BCA4
ENSG00000004399	UPI0001D3BCA5
ENSG00000004399	UPI0001D3BCA6
ENSG00000004399	UPI0001D3BCA7
ENSG00000004399	UPI0001E8EFEF
ENSG00000004455	AK2
ENSG00000004455	AK2-001
ENSG00000004455	AK2-002
ENSG00000004455	AK2-003
ENSG00000004455	AK2-004
ENSG00000004455	AK2-005
ENSG00000004455	AK2-006
ENSG00000004455	AK2-007
ENSG00000004455	AK2-008
ENSG00000004455	AK2-009
ENSG00000004455	AK2-010
ENSG00000004455	AK2-011
ENSG00000004455	AK2-012
ENSG00000004455	AK2-013
ENSG00000004455	UPI000016090B
ENSG00000004455	UPI000016781E
ENSG00000004455	UPI0000203E8B
ENSG00000004455	UPI0000203E90
ENSG00000004455	UPI000040D586
ENSG00000004455	UPI0000EE30AA
ENSG00000004455	UPI00020CDFB8
ENSG00000004468	CD38
ENSG00000004468	CD38-001
