Ensembl ID	miRBase ID
ENSG00000216058	MI0005769
ENSG00000216060	MI0005756
ENSG00000216064	MI0005534
ENSG00000216069	MI0005541
ENSG00000216075	MI0005533
ENSG00000216077	MI0005562
ENSG00000216083	MI0005758
ENSG00000216090	MI0005759
ENSG00000216098	MI0005538
ENSG00000216099	MI0005540
ENSG00000216101	MI0005561
ENSG00000216105	MI0005768
ENSG00000216133	MI0005761
ENSG00000216141	MI0005763
ENSG00000216141	MI0005764
ENSG00000216141	MI0005765
ENSG00000216141	MI0005766
ENSG00000216141	MI0031520
ENSG00000216171	MI0006649
ENSG00000216179	MI0005539
ENSG00000216191	MI0027288
ENSG00000216192	MI0005712
ENSG00000216195	MI0005763
ENSG00000216195	MI0005764
ENSG00000216195	MI0005765
ENSG00000216195	MI0005766
ENSG00000216195	MI0031520
ENSG00000221017	MI0003786
ENSG00000221025	MI0006385
ENSG00000221028	MI0006321
ENSG00000221033	MI0006408
ENSG00000221036	MI0014205
ENSG00000221039	MI0006348
ENSG00000221052	MI0006403
ENSG00000221055	MI0006364
ENSG00000221062	MI0006433
ENSG00000221063	MI0003780
ENSG00000221065	MI0006323
ENSG00000221065	MI0015973
ENSG00000221081	MI0008192
ENSG00000221091	MI0006366
ENSG00000221120	MI0003764
ENSG00000221160	MI0006428
ENSG00000221170	MI0006371
ENSG00000221176	MI0006340
ENSG00000221184	MI0006388
ENSG00000221187	MI0006400
ENSG00000221190	MI0006277
ENSG00000221190	MI0015971
ENSG00000221190	MI0015972
ENSG00000221200	MI0006387
ENSG00000221203	MI0006397
ENSG00000221214	MI0006344
ENSG00000221227	MI0006372
ENSG00000221230	MI0006361
ENSG00000221238	MI0006347
ENSG00000221240	MI0006392
ENSG00000221251	MI0006398
ENSG00000221261	MI0006341
ENSG00000221263	MI0006420
ENSG00000221264	MI0006431
ENSG00000221265	MI0006389
ENSG00000221267	MI0006326
ENSG00000221269	MI0006369
ENSG00000221273	MI0006327
ENSG00000221275	MI0006422
ENSG00000221287	MI0006351
ENSG00000221288	MI0006336
ENSG00000221290	MI0006275
ENSG00000221296	MI0014164
ENSG00000221305	MI0006423
ENSG00000221323	MI0006271
ENSG00000221325	MI0006332
ENSG00000221331	MI0010637
ENSG00000221333	MI0006354
ENSG00000221348	MI0006378
ENSG00000221355	MI0006432
ENSG00000221365	MI0006318
ENSG00000221366	MI0006443
ENSG00000221369	MI0006395
ENSG00000221371	MI0006401
ENSG00000221390	MI0006357
ENSG00000221390	MI0019146
ENSG00000221393	MI0006367
ENSG00000221394	MI0006319
ENSG00000221406	MI0003839
ENSG00000221410	MI0006328
ENSG00000221411	MI0006316
ENSG00000221417	MI0006391
ENSG00000221419	MI0006349
ENSG00000221421	MI0003832
ENSG00000221430	MI0006356
ENSG00000221436	MI0006376
ENSG00000221442	MI0006377
ENSG00000221445	MI0003815
ENSG00000221456	MI0006334
ENSG00000221463	MI0006419
ENSG00000221464	MI0003814
ENSG00000221466	MI0016815
ENSG00000221476	MI0008195
ENSG00000221479	MI0006386
ENSG00000221493	MI0003778
ENSG00000221494	MI0006424
ENSG00000221502	MI0006380
ENSG00000221502	MI0017431
ENSG00000221510	MI0006402
ENSG00000221520	MI0006346
ENSG00000221525	MI0003844
ENSG00000221533	MI0006277
ENSG00000221533	MI0015971
ENSG00000221533	MI0015972
ENSG00000221537	MI0006411
ENSG00000221540	MI0006273
ENSG00000221545	MI0006436
ENSG00000221548	MI0006430
ENSG00000221552	MI0006370
ENSG00000221563	MI0006406
ENSG00000221566	MI0006274
ENSG00000221585	MI0006313
ENSG00000221586	MI0006396
ENSG00000221594	MI0006374
ENSG00000221598	MI0006384
ENSG00000221603	MI0006277
ENSG00000221603	MI0015971
ENSG00000221603	MI0015972
ENSG00000221604	MI0006355
ENSG00000221614	MI0003821
ENSG00000221616	MI0006414
ENSG00000221628	MI0006365
ENSG00000221630	MI0006272
ENSG00000221634	MI0006416
ENSG00000221641	MI0006405
ENSG00000221649	MI0006323
ENSG00000221649	MI0015973
ENSG00000221650	MI0006404
ENSG00000221656	MI0006311
ENSG00000221662	MI0006352
ENSG00000221667	MI0008193
ENSG00000221669	MI0006399
ENSG00000221680	MI0006425
ENSG00000221697	MI0006415
ENSG00000221698	MI0006413
ENSG00000221703	MI0006417
ENSG00000221710	MI0003938
ENSG00000221737	MI0006421
ENSG00000221739	MI0006335
ENSG00000221745	MI0006656
ENSG00000221753	MI0006409
ENSG00000221754	MI0006394
ENSG00000221760	MI0006345
ENSG00000221763	MI0006350
ENSG00000221767	MI0006444
ENSG00000221771	MI0006338
ENSG00000221782	MI0006375
ENSG00000221783	MI0006276
ENSG00000221788	MI0006434
ENSG00000221792	MI0006429
ENSG00000221795	MI0006657
ENSG00000221801	MI0006412
ENSG00000221808	MI0006390
ENSG00000222071	MI0008336
ENSG00000222246	MI0007076
ENSG00000222321	MI0008333
ENSG00000222326	MI0008329
ENSG00000222370	MI0006442
ENSG00000222532	MI0003782
ENSG00000222651	MI0007074
ENSG00000222715	MI0008332
ENSG00000222831	MI0007258
ENSG00000222958	MI0008334
ENSG00000223109	MI0007259
ENSG00000223244	MI0008330
ENSG00000225206	MI0000454
ENSG00000225206	MI0012063
