Ensembl ID	Vega_gene ID
ENSG00000019169	OTTHUMG00000131400
ENSG00000019186	OTTHUMG00000032773
ENSG00000019485	OTTHUMG00000166478
ENSG00000019505	OTTHUMG00000166504
ENSG00000019549	OTTHUMG00000149912
ENSG00000019582	OTTHUMG00000163559
ENSG00000019991	OTTHUMG00000023804
ENSG00000019995	OTTHUMG00000019223
ENSG00000020129	OTTHUMG00000059204
ENSG00000020181	OTTHUMG00000156182
ENSG00000020219	OTTHUMG00000157297
ENSG00000020256	OTTHUMG00000032756
ENSG00000020426	OTTHUMG00000152340
ENSG00000020577	OTTHUMG00000170999
ENSG00000020633	OTTHUMG00000003316
ENSG00000020922	OTTHUMG00000167780
ENSG00000021300	OTTHUMG00000168030
ENSG00000021355	OTTHUMG00000014124
ENSG00000021461	OTTHUMG00000156498
ENSG00000021488	OTTHUMG00000180287
ENSG00000021574	OTTHUMG00000128455
ENSG00000021645	OTTHUMG00000171502
ENSG00000021762	OTTHUMG00000011702
ENSG00000021776	OTTHUMG00000172257
ENSG00000021826	OTTHUMG00000132994
ENSG00000021852	OTTHUMG00000008305
ENSG00000022267	OTTHUMG00000022504
ENSG00000022277	OTTHUMG00000032801
ENSG00000022355	OTTHUMG00000163586
ENSG00000022556	OTTHUMG00000167763
ENSG00000022567	OTTHUMG00000164393
ENSG00000022840	OTTHUMG00000168999
ENSG00000022976	OTTHUMG00000171864
ENSG00000023041	OTTHUMG00000019062
ENSG00000023171	OTTHUMG00000166004
ENSG00000023191	OTTHUMG00000119086
ENSG00000023228	OTTHUMG00000132892
ENSG00000023287	OTTHUMG00000164268
ENSG00000023318	OTTHUMG00000020363
ENSG00000023330	OTTHUMG00000158108
ENSG00000023445	OTTHUMG00000167324
ENSG00000023516	OTTHUMG00000016805
ENSG00000023572	OTTHUMG00000035677
ENSG00000023608	OTTHUMG00000140343
ENSG00000023697	OTTHUMG00000165537
ENSG00000023734	OTTHUMG00000168791
ENSG00000023839	OTTHUMG00000018895
ENSG00000023892	OTTHUMG00000014563
ENSG00000023902	OTTHUMG00000012510
ENSG00000023909	OTTHUMG00000010562
ENSG00000024048	OTTHUMG00000014703
ENSG00000024422	OTTHUMG00000183266
ENSG00000024526	OTTHUMG00000009212
ENSG00000024862	OTTHUMG00000015683
ENSG00000025039	OTTHUMG00000015200
ENSG00000025156	OTTHUMG00000016216
ENSG00000025293	OTTHUMG00000032367
ENSG00000025423	OTTHUMG00000170854
ENSG00000025434	OTTHUMG00000150628
ENSG00000025708	OTTHUMG00000150249
ENSG00000025770	OTTHUMG00000150205
ENSG00000025772	OTTHUMG00000032552
ENSG00000025796	OTTHUMG00000015316
ENSG00000025800	OTTHUMG00000004333
ENSG00000026025	OTTHUMG00000017744
ENSG00000026036	OTTHUMG00000170363
ENSG00000026103	OTTHUMG00000018701
ENSG00000026297	OTTHUMG00000016009
ENSG00000026508	OTTHUMG00000044388
ENSG00000026559	OTTHUMG00000032745
ENSG00000026652	OTTHUMG00000015966
ENSG00000026751	OTTHUMG00000024008
ENSG00000026950	OTTHUMG00000014449
ENSG00000027001	OTTHUMG00000016573
ENSG00000027075	OTTHUMG00000152341
ENSG00000027644	OTTHUMG00000041291
ENSG00000027697	OTTHUMG00000015656
ENSG00000027847	OTTHUMG00000130851
ENSG00000027869	OTTHUMG00000041305
ENSG00000028116	OTTHUMG00000129348
ENSG00000028137	OTTHUMG00000001829
ENSG00000028203	OTTHUMG00000170182
ENSG00000028277	OTTHUMG00000165991
ENSG00000028310	OTTHUMG00000159258
ENSG00000028528	OTTHUMG00000172436
ENSG00000028839	OTTHUMG00000015609
ENSG00000029153	OTTHUMG00000169257
ENSG00000029363	OTTHUMG00000033323
ENSG00000029364	OTTHUMG00000171232
ENSG00000029534	OTTHUMG00000150281
ENSG00000029559	OTTHUMG00000130600
ENSG00000029639	OTTHUMG00000015881
ENSG00000029725	OTTHUMG00000177870
ENSG00000029993	OTTHUMG00000024162
ENSG00000030066	OTTHUMG00000166534
ENSG00000030110	OTTHUMG00000014530
ENSG00000030304	OTTHUMG00000020485
ENSG00000030419	OTTHUMG00000133005
ENSG00000030582	OTTHUMG00000181816
ENSG00000031003	OTTHUMG00000129202
ENSG00000031081	OTTHUMG00000159362
ENSG00000031691	OTTHUMG00000014815
ENSG00000031698	OTTHUMG00000011726
ENSG00000031823	OTTHUMG00000180636
ENSG00000032219	OTTHUMG00000140320
ENSG00000032389	OTTHUMG00000090329
ENSG00000032444	OTTHUMG00000182094
ENSG00000032742	OTTHUMG00000016517
ENSG00000033011	OTTHUMG00000129529
ENSG00000033030	OTTHUMG00000168878
ENSG00000033050	OTTHUMG00000154570
ENSG00000033100	OTTHUMG00000157380
ENSG00000033122	OTTHUMG00000059194
ENSG00000033170	OTTHUMG00000142818
ENSG00000033178	OTTHUMG00000129299
ENSG00000033327	OTTHUMG00000166673
ENSG00000033627	OTTHUMG00000180238
ENSG00000033800	OTTHUMG00000172645
ENSG00000033867	OTTHUMG00000155679
ENSG00000034053	OTTHUMG00000129255
ENSG00000034152	OTTHUMG00000134322
ENSG00000034239	OTTHUMG00000164203
ENSG00000034510	OTTHUMG00000130027
ENSG00000034533	OTTHUMG00000159644
ENSG00000034677	OTTHUMG00000164707
ENSG00000034693	OTTHUMG00000015730
ENSG00000034713	OTTHUMG00000137613
ENSG00000034971	OTTHUMG00000034789
ENSG00000035115	OTTHUMG00000151359
ENSG00000035141	OTTHUMG00000129668
ENSG00000035403	OTTHUMG00000018498
ENSG00000035499	OTTHUMG00000097083
ENSG00000035664	OTTHUMG00000132947
ENSG00000035681	OTTHUMG00000164352
ENSG00000035687	OTTHUMG00000040102
ENSG00000035720	OTTHUMG00000129304
ENSG00000035862	OTTHUMG00000154517
ENSG00000035928	OTTHUMG00000099363
ENSG00000036054	OTTHUMG00000159067
ENSG00000036257	OTTHUMG00000133167
ENSG00000036448	OTTHUMG00000129175
ENSG00000036473	OTTHUMG00000022727
ENSG00000036530	OTTHUMG00000171510
ENSG00000036549	OTTHUMG00000009652
ENSG00000036565	OTTHUMG00000097017
ENSG00000036672	OTTHUMG00000166200
ENSG00000036828	OTTHUMG00000159491
ENSG00000037042	OTTHUMG00000180640
ENSG00000037241	OTTHUMG00000130517
ENSG00000037280	OTTHUMG00000130931
ENSG00000037474	OTTHUMG00000090455
ENSG00000037637	OTTHUMG00000002218
ENSG00000037749	OTTHUMG00000130149
ENSG00000037757	OTTHUMG00000180867
ENSG00000037897	OTTHUMG00000150143
ENSG00000037965	OTTHUMG00000160032
ENSG00000038002	OTTHUMG00000160723
ENSG00000038210	OTTHUMG00000128564
ENSG00000038219	OTTHUMG00000090659
ENSG00000038274	OTTHUMG00000130379
ENSG00000038295	OTTHUMG00000161112
ENSG00000038358	OTTHUMG00000137543
ENSG00000038382	OTTHUMG00000131057
ENSG00000038427	OTTHUMG00000131321
ENSG00000038532	OTTHUMG00000152915
ENSG00000038945	OTTHUMG00000094809
ENSG00000039068	OTTHUMG00000137561
ENSG00000039123	OTTHUMG00000097019
ENSG00000039139	OTTHUMG00000090533
ENSG00000039319	OTTHUMG00000108178
ENSG00000039523	OTTHUMG00000137536
ENSG00000039537	OTTHUMG00000094781
ENSG00000039560	OTTHUMG00000162019
ENSG00000039600	OTTHUMG00000130247
ENSG00000039650	OTTHUMG00000183261
ENSG00000039987	OTTHUMG00000169293
ENSG00000040199	OTTHUMG00000176867
ENSG00000040275	OTTHUMG00000130438
ENSG00000040341	OTTHUMG00000164499
ENSG00000040487	OTTHUMG00000002521
ENSG00000040531	OTTHUMG00000090693
ENSG00000040608	OTTHUMG00000150572
ENSG00000040633	OTTHUMG00000177972
ENSG00000040731	OTTHUMG00000090667
ENSG00000040933	OTTHUMG00000153106
ENSG00000041353	OTTHUMG00000132710
ENSG00000041357	OTTHUMG00000143859
ENSG00000041515	OTTHUMG00000017333
ENSG00000041802	OTTHUMG00000156021
ENSG00000041880	OTTHUMG00000156931
ENSG00000041982	OTTHUMG00000021010
ENSG00000041988	OTTHUMG00000001440
ENSG00000042062	OTTHUMG00000032724
ENSG00000042088	OTTHUMG00000171016
ENSG00000042286	OTTHUMG00000018398
ENSG00000042304	OTTHUMG00000153550
ENSG00000042317	OTTHUMG00000170744
ENSG00000042429	OTTHUMG00000167497
ENSG00000042445	OTTHUMG00000154611
ENSG00000042493	OTTHUMG00000130183
ENSG00000042753	OTTHUMG00000183437
ENSG00000042781	OTTHUMG00000037079
ENSG00000042813	OTTHUMG00000023528
ENSG00000042832	OTTHUMG00000164649
ENSG00000042980	OTTHUMG00000163780
