Ensembl ID	EntrezGene_trans_name ID
ENSG00000271816	BMS1P4-001
ENSG00000271858	CYB561D2-001
ENSG00000271858	CYB561D2-002
ENSG00000271858	CYB561D2-003
ENSG00000271858	CYB561D2-004
ENSG00000271858	CYB561D2-005
ENSG00000271858	CYB561D2-006
ENSG00000272173	RNU7-1-001
ENSG00000272593	URM1-001
ENSG00000272724	OR7E47P-001
ENSG00000272742	PAIP2-001
ENSG00000273046	HOXC5-001
ENSG00000273225	FAM25BP-001
ENSG00000273225	FAM25BP-002
ENSG00000273225	FAM25BP-003
ENSG00000273225	FAM25BP-201
ENSG00000274107	PRAMEF1-201
ENSG00000274362	C2orf27B-201
ENSG00000274382	PROP1-201
ENSG00000274404	GOLGA6L22-201
ENSG00000274499	CXADRP2-001
ENSG00000274499	CXADRP2-002
ENSG00000274536	MIR223-001
ENSG00000274536	MIR223-002
ENSG00000274628	FAM95B1-001
ENSG00000274628	FAM95B1-002
ENSG00000274628	FAM95B1-003
ENSG00000274628	FAM95B1-004
ENSG00000274628	FAM95B1-005
ENSG00000274628	FAM95B1-006
ENSG00000274821	SERPINA2-201
ENSG00000274821	SERPINA2-202
ENSG00000274846	OR4N3P-201
ENSG00000274944	GJA9-MYCBP-001
ENSG00000274944	GJA9-MYCBP-002
ENSG00000274944	GJA9-MYCBP-003
ENSG00000274944	GJA9-MYCBP-004
ENSG00000274956	UG0898H09-001
ENSG00000274956	UG0898H09-201
ENSG00000275084	SNORD91B-001
ENSG00000275430	MUC20-201
ENSG00000275499	ZNF280A-201
ENSG00000275620	FLJ16779-001
ENSG00000275774	HNRNPCL2-001
ENSG00000275778	PRH1-001
ENSG00000275869	TP53TG3D-201
ENSG00000275976	SPDYE8P-001
ENSG00000275976	SPDYE8P-002
ENSG00000275976	SPDYE8P-003
ENSG00000276216	RNVU1-14-001
ENSG00000276380	UBE2NL-001
ENSG00000276380	UBE2NL-002
ENSG00000276386	CNTNAP3P2-001
ENSG00000276399	FLJ36000-001
ENSG00000276872	OR4N3P-202
ENSG00000277065	TMEM179-201
ENSG00000277147	LINC00869-001
ENSG00000277147	LINC00869-002
ENSG00000277147	LINC00869-003
ENSG00000277147	LINC00869-004
ENSG00000277147	LINC00869-005
ENSG00000277147	LINC00869-008
ENSG00000277147	LINC00869-009
ENSG00000277147	LINC00869-015
ENSG00000277147	LINC00869-017
ENSG00000277147	LINC00869-018
ENSG00000278466	MUC2-201
ENSG00000278599	TBC1D3-001
ENSG00000278599	TBC1D3-209
ENSG00000278616	BEND3P3-001
ENSG00000278730	LINC00674-001
ENSG00000279037	C12orf79-201
ENSG00000279279	PCDH11Y-201
ENSG00000279316	C15orf32-201
ENSG00000279445	OR4N3P-203
ENSG00000279517	OR3A4P-001
ENSG00000279535	SAMD12-001
ENSG00000279672	NS3BP-001
ENSG00000279672	NS3BP-201
ENSG00000279736	CDY1-201
ENSG00000279782	PPIAL4F-001
ENSG00000279798	MIR135A2-001
ENSG00000279867	CDY1-202
ENSG00000279870	PCDH11Y-202
ENSG00000279891	FLJ42393-001
ENSG00000279898	EIF1AY-201
ENSG00000279943	FLJ38576-001
ENSG00000279971	SCGB2B3P-001
ENSG00000279980	GABARAPL3-001
ENSG00000280081	MGC39584-001
ENSG00000280081	MGC39584-002
ENSG00000280081	MGC39584-003
ENSG00000280112	C12orf79-202
ENSG00000280191	LINC00313-001
ENSG00000280191	LINC00313-002
ENSG00000280191	LINC00313-003
ENSG00000280191	LINC00313-004
ENSG00000280191	LINC00313-005
ENSG00000280256	AMELY-201
ENSG00000280263	ACTR3BP2-201
ENSG00000280278	FLJ30679-001
ENSG00000280325	SNHG7-001
ENSG00000280437	RPL23AP53-001
