GeneID	EntrezGene	Pathway
4625	L	Dilated cardiomyopathy:KEGG-hsa05414
4625	L	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
4625	L	Tight junction:KEGG-hsa04530
4625	L	Viral myocarditis:KEGG-hsa05416
4626	L	Tight junction:KEGG-hsa04530
4626	L	Viral myocarditis:KEGG-hsa05416
4627	L	Regulation of actin cytoskeleton:KEGG-hsa04810
4627	L	Tight junction:KEGG-hsa04530
4627	L	Viral myocarditis:KEGG-hsa05416
4628	L	Regulation of actin cytoskeleton:KEGG-hsa04810
4628	L	Tight junction:KEGG-hsa04530
4628	L	Viral myocarditis:KEGG-hsa05416
4629	L	Tight junction:KEGG-hsa04530
4629	L	Vascular smooth muscle contraction:KEGG-hsa04270
4629	L	Viral myocarditis:KEGG-hsa05416
51107	L	Alzheimer's disease:KEGG-hsa05010
51107	L	Notch signaling pathway:KEGG-hsa04330
51102	L	Fatty acid elongation in mitochondria:KEGG-hsa00062
51100	L	Endocytosis:KEGG-hsa04144
11015	L	Vibrio cholerae infection:KEGG-hsa05110
51109	L	Retinol metabolism:KEGG-hsa00830
122970	L	Biosynthesis of unsaturated fatty acids:KEGG-hsa01040
178	L	Starch and sucrose metabolism:KEGG-hsa00500
175	L	Lysosome:KEGG-hsa04142
10390	L	Ether lipid metabolism:KEGG-hsa00565
10390	L	Glycerophospholipid metabolism:KEGG-hsa00564
57084	L	Glutamatergic synapse:KEGG-hsa04724
83860	L	Basal transcription factors:KEGG-hsa03022
10393	L	Cell cycle:KEGG-hsa04110
10393	L	Oocyte meiosis:KEGG-hsa04114
10393	L	Progesterone-mediated oocyte maturation:KEGG-hsa04914
10393	L	Ubiquitin mediated proteolysis:KEGG-hsa04120
10398	L	Focal adhesion:KEGG-hsa04510
10398	L	Leukocyte transendothelial migration:KEGG-hsa04670
10398	L	Regulation of actin cytoskeleton:KEGG-hsa04810
10398	L	Tight junction:KEGG-hsa04530
10398	L	Vascular smooth muscle contraction:KEGG-hsa04270
10399	L	Measles:KEGG-hsa05162
6217	L	Ribosome:KEGG-hsa03010
