ID	SystemCode	MAPP
11051	L	mRNA Processing:WP411
11338	L	mRNA Processing:WP411
6729	L	mRNA Processing:WP411
5725	L	mRNA Processing:WP411
10898	L	mRNA Processing:WP411
2521	L	mRNA Processing:WP411
7307	L	mRNA Processing:WP411
83443	L	mRNA Processing:WP411
4904	L	mRNA Processing:WP411
4670	L	mRNA Processing:WP411
8732	L	mRNA Processing:WP411
10181	L	mRNA Processing:WP411
10594	L	mRNA Processing:WP411
1665	L	mRNA Processing:WP411
23283	L	mRNA Processing:WP411
1660	L	mRNA Processing:WP411
51692	L	mRNA Processing:WP411
8683	L	mRNA Processing:WP411
51690	L	mRNA Processing:WP411
3275	L	mRNA Processing:WP411
10236	L	mRNA Processing:WP411
