GeneID	Ensembl	Pathway
ENSG00000099942	En	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000099942	En	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000099942	En	Chronic myeloid leukemia:KEGG-hsa05220
ENSG00000099942	En	ErbB signaling pathway:KEGG-hsa04012
ENSG00000099942	En	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
ENSG00000099942	En	Focal adhesion:KEGG-hsa04510
ENSG00000099942	En	Insulin signaling pathway:KEGG-hsa04910
ENSG00000099942	En	MAPK signaling pathway:KEGG-hsa04010
ENSG00000099942	En	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000099942	En	Pathways in cancer:KEGG-hsa05200
ENSG00000099942	En	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000099942	En	Renal cell carcinoma:KEGG-hsa05211
ENSG00000099942	En	Shigellosis:KEGG-hsa05131
ENSG00000101608	En	Focal adhesion:KEGG-hsa04510
ENSG00000101608	En	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000101608	En	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000101608	En	Tight junction:KEGG-hsa04530
ENSG00000196539	En	Olfactory transduction:KEGG-hsa04740
ENSG00000121335	En	Salivary secretion:KEGG-hsa04970
ENSG00000154001	En	Oocyte meiosis:KEGG-hsa04114
ENSG00000154001	En	Wnt signaling pathway:KEGG-hsa04310
ENSG00000154001	En	mRNA surveillance pathway:KEGG-hsa03015
ENSG00000174130	En	Chagas disease (American trypanosomiasis):KEGG-hsa05142
ENSG00000174130	En	Phagosome:KEGG-hsa04145
ENSG00000174130	En	Toll-like receptor signaling pathway:KEGG-hsa04620
ENSG00000174130	En	Tuberculosis:KEGG-hsa05152
ENSG00000198791	En	RNA degradation:KEGG-hsa03018
ENSG00000197959	En	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000197959	En	Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961
ENSG00000197959	En	Endocytosis:KEGG-hsa04144
ENSG00000197959	En	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
ENSG00000198793	En	Acute myeloid leukemia:KEGG-hsa05221
ENSG00000198793	En	Adipocytokine signaling pathway:KEGG-hsa04920
ENSG00000198793	En	ErbB signaling pathway:KEGG-hsa04012
ENSG00000198793	En	Glioma:KEGG-hsa05214
ENSG00000198793	En	Insulin signaling pathway:KEGG-hsa04910
ENSG00000198793	En	Pathways in cancer:KEGG-hsa05200
ENSG00000198793	En	Prostate cancer:KEGG-hsa05215
ENSG00000198793	En	Type II diabetes mellitus:KEGG-hsa04930
ENSG00000198793	En	mTOR signaling pathway:KEGG-hsa04150
ENSG00000117461	En	Acute myeloid leukemia:KEGG-hsa05221
ENSG00000117461	En	Aldosterone-regulated sodium reabsorption:KEGG-hsa04960
ENSG00000117461	En	Amoebiasis:KEGG-hsa05146
ENSG00000117461	En	Apoptosis:KEGG-hsa04210
ENSG00000117461	En	B cell receptor signaling pathway:KEGG-hsa04662
ENSG00000117461	En	Bacterial invasion of epithelial cells:KEGG-hsa05100
ENSG00000117461	En	Carbohydrate digestion and absorption:KEGG-hsa04973
ENSG00000117461	En	Chagas disease (American trypanosomiasis):KEGG-hsa05142
ENSG00000117461	En	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000117461	En	Chronic myeloid leukemia:KEGG-hsa05220
ENSG00000117461	En	Colorectal cancer:KEGG-hsa05210
ENSG00000117461	En	Endometrial cancer:KEGG-hsa05213
ENSG00000117461	En	ErbB signaling pathway:KEGG-hsa04012
ENSG00000117461	En	Fc epsilon RI signaling pathway:KEGG-hsa04664
ENSG00000117461	En	Fc gamma R-mediated phagocytosis:KEGG-hsa04666
ENSG00000117461	En	Focal adhesion:KEGG-hsa04510
ENSG00000117461	En	Glioma:KEGG-hsa05214
ENSG00000117461	En	Hepatitis C:KEGG-hsa05160
ENSG00000117461	En	Insulin signaling pathway:KEGG-hsa04910
ENSG00000117461	En	Jak-STAT signaling pathway:KEGG-hsa04630
ENSG00000117461	En	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000117461	En	Measles:KEGG-hsa05162
ENSG00000117461	En	Melanoma:KEGG-hsa05218
ENSG00000117461	En	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
ENSG00000117461	En	Neurotrophin signaling pathway:KEGG-hsa04722
ENSG00000117461	En	Non-small cell lung cancer:KEGG-hsa05223
ENSG00000117461	En	Osteoclast differentiation:KEGG-hsa04380
ENSG00000117461	En	Pancreatic cancer:KEGG-hsa05212
ENSG00000117461	En	Pathways in cancer:KEGG-hsa05200
