Source Identifier	SystemCode	ME	NA
ENSG00000115840	SLC25A12	turquoise	En
ENSG00000182902	SLC25A18	turquoise	En
ENSG00000178537	SLC25A20	turquoise	En
ENSG00000085491	SLC25A24	turquoise	En
ENSG00000075415	SLC25A3	turquoise	En
ENSG00000151729	SLC25A4	turquoise	En
ENSG00000005022	SLC25A5	turquoise	En
ENSG00000169100	SLC25A6	turquoise	En
ENSG00000142583	SLC2A5	turquoise	En
ENSG00000170385	SLC30A1	turquoise	En
ENSG00000148482	SLC39A12	turquoise	En
ENSG00000168003	SLC3A2	turquoise	En
ENSG00000129353	SLC44A2	turquoise	En
ENSG00000004939	SLC4A1	turquoise	En
ENSG00000151012	SLC7A11	turquoise	En
ENSG00000103257	SLC7A5	turquoise	En
NA	SLC9A3R1	turquoise	En
NA	SLC9A3R2	turquoise	En
ENSG00000092531	SNAP23	turquoise	En
ENSG00000173267	SNCG	turquoise	En
ENSG00000197157	SND1	turquoise	En
ENSG00000172164	SNTB1	turquoise	En
ENSG00000291237	SOD2	turquoise	En
ENSG00000184985	SORCS2	turquoise	En
ENSG00000140263	SORD	turquoise	En
ENSG00000134243	SORT1	turquoise	En
ENSG00000113140	SPARC	turquoise	En
ENSG00000152583	SPARCL1	turquoise	En
NA	SPG20	turquoise	En
ENSG00000116096	SPR	turquoise	En
NA	SQRDL	turquoise	En
ENSG00000106028	SSBP1	turquoise	En
ENSG00000100380	ST13	turquoise	En
ENSG00000010327	STAB1	turquoise	En
ENSG00000168610	STAT3	turquoise	En
ENSG00000168439	STIP1	turquoise	En
ENSG00000165283	STOML2	turquoise	En
ENSG00000140022	STON2	turquoise	En
ENSG00000099994	SUSD2	turquoise	En
ENSG00000149591	TAGLN	turquoise	En
ENSG00000158710	TAGLN2	turquoise	En
ENSG00000144834	TAGLN3	turquoise	En
NA	TARS	turquoise	En
ENSG00000204065	TCEAL5	turquoise	En
ENSG00000152291	TGOLN2	turquoise	En
ENSG00000172009	THOP1	turquoise	En
ENSG00000154096	THY1	turquoise	En
ENSG00000104067	TJP1	turquoise	En
ENSG00000163931	TKT	turquoise	En
ENSG00000137076	TLN1	turquoise	En
ENSG00000205542	TMSB4X	turquoise	En
ENSG00000041982	TNC	turquoise	En
ENSG00000136205	TNS3	turquoise	En
ENSG00000076554	TPD52	turquoise	En
ENSG00000111669	TPI1	turquoise	En
ENSG00000166340	TPP1	turquoise	En
ENSG00000171368	TPPP	turquoise	En
ENSG00000159713	TPPP3	turquoise	En
ENSG00000116918	TSNAX	turquoise	En
ENSG00000128311	TST	turquoise	En
ENSG00000113312	TTC1	turquoise	En
ENSG00000178952	TUFM	turquoise	En
ENSG00000091164	TXNL1	turquoise	En
ENSG00000078140	UBE2K	turquoise	En
ENSG00000177889	UBE2N	turquoise	En
ENSG00000169139	UBE2V2	turquoise	En
ENSG00000156467	UQCRB	turquoise	En
ENSG00000010256	UQCRC1	turquoise	En
ENSG00000140740	UQCRC2	turquoise	En
ENSG00000169021	UQCRFS1	turquoise	En
ENSG00000168140	VASN	turquoise	En
ENSG00000108828	VAT1	turquoise	En
ENSG00000035403	VCL	turquoise	En
ENSG00000165280	VCP	turquoise	En
ENSG00000213585	VDAC1	turquoise	En
ENSG00000165637	VDAC2	turquoise	En
ENSG00000078668	VDAC3	turquoise	En
ENSG00000163032	VSNL1	turquoise	En
ENSG00000110002	VWA5A	turquoise	En
NA	WARS	turquoise	En
ENSG00000131725	WDR44	turquoise	En
ENSG00000109501	WFS1	turquoise	En
