Source Identifier	SystemCode	ME	NA
ENSG00000144118	RALB	black	En
ENSG00000099901	RANBP1	black	En
ENSG00000076864	RAP1GAP	black	En
ENSG00000132359	RAP1GAP2	black	En
ENSG00000138698	RAP1GDS1	black	En
ENSG00000111344	RASAL1	black	En
ENSG00000129625	REEP5	black	En
ENSG00000162944	RFTN2	black	En
ENSG00000091844	RGS17	black	En
ENSG00000182901	RGS7	black	En
ENSG00000186479	RGS7BP	black	En
ENSG00000143878	RHOB	black	En
ENSG00000177105	RHOG	black	En
ENSG00000134318	ROCK2	black	En
ENSG00000089169	RPH3A	black	En
ENSG00000115310	RTN4	black	En
ENSG00000018189	RUFY3	black	En
ENSG00000160307	S100B	black	En
ENSG00000126524	SBDS	black	En
ENSG00000100241	SBF1	black	En
ENSG00000173611	SCAI	black	En
ENSG00000085365	SCAMP1	black	En
ENSG00000136531	SCN2A	black	En
ENSG00000149575	SCN2B	black	En
ENSG00000143416	SELENBP1	black	En
NA	Sep.11	black	En
NA	Sep.03	black	En
NA	Sep.05	black	En
NA	Sep.06	black	En
NA	Sep.07	black	En
NA	Sep.08	black	En
ENSG00000021355	SERPINB1	black	En
ENSG00000175793	SFN	black	En
ENSG00000118473	SGIP1	black	En
ENSG00000104969	SGTA	black	En
ENSG00000197860	SGTB	black	En
ENSG00000131171	SH3BGRL	black	En
ENSG00000141985	SH3GL1	black	En
ENSG00000107295	SH3GL2	black	En
ENSG00000140600	SH3GL3	black	En
ENSG00000148341	SH3GLB2	black	En
ENSG00000064651	SLC12A2	black	En
ENSG00000059804	SLC2A3	black	En
